datetime,portfolio_value
2025-03-13 15:30:00-04:00,19339.830818072554
2025-03-13 15:35:00-04:00,19303.04044618188
2025-03-13 15:40:00-04:00,19327.481503924973
2025-03-13 15:45:00-04:00,19329.768897660342
2025-03-13 15:50:00-04:00,19314.19046818455
2025-03-13 15:55:00-04:00,19329.049539250307
2025-03-14 09:30:00-04:00,19371.981359450605
2025-03-14 09:35:00-04:00,19406.703796814105
2025-03-14 09:40:00-04:00,19444.879979445675
2025-03-14 09:45:00-04:00,19474.31662956462
2025-03-14 09:50:00-04:00,19496.480867171704
2025-03-14 09:55:00-04:00,19470.973044513485
2025-03-14 10:00:00-04:00,19451.805148238072
2025-03-14 10:05:00-04:00,19431.312731804595
2025-03-14 10:10:00-04:00,19414.553128435447
2025-03-14 10:15:00-04:00,19406.594105607957
2025-03-14 10:20:00-04:00,19418.91349918366
2025-03-14 10:25:00-04:00,19424.04567801161
2025-03-14 10:30:00-04:00,19436.57330565242
2025-03-14 10:35:00-04:00,19459.468089068174
2025-03-14 10:40:00-04:00,19457.173960681415
2025-03-14 10:45:00-04:00,19465.380008650234
2025-03-14 10:50:00-04:00,19482.76786823043
2025-03-14 10:55:00-04:00,19517.539954285392
2025-03-14 11:00:00-04:00,19504.074773800272
2025-03-14 11:05:00-04:00,19504.25705311429
2025-03-14 11:10:00-04:00,19514.9693595365
2025-03-14 11:15:00-04:00,19527.046534997397
2025-03-14 11:20:00-04:00,19535.365769724496
2025-03-14 11:25:00-04:00,19523.776488022755
2025-03-14 11:30:00-04:00,19536.757436898537
2025-03-14 11:35:00-04:00,19528.96850774359
2025-03-14 11:40:00-04:00,19542.75179564184
2025-03-14 11:45:00-04:00,19536.029071919635
2025-03-14 11:50:00-04:00,19540.23844070157
2025-03-14 11:55:00-04:00,19555.130801143452
2025-03-14 12:00:00-04:00,19542.796892318136
2025-03-14 12:05:00-04:00,19531.35064964256
2025-03-14 12:10:00-04:00,19520.63574941639
2025-03-14 12:15:00-04:00,19503.330040037305
2025-03-14 12:20:00-04:00,19521.805793255953
2025-03-14 12:25:00-04:00,19500.97712795327
2025-03-14 12:30:00-04:00,19515.983694652194
2025-03-14 12:35:00-04:00,19521.57698938429
2025-03-14 12:40:00-04:00,19538.7981415989
2025-03-14 12:45:00-04:00,19539.224470854362
2025-03-14 12:50:00-04:00,19559.389772814626
2025-03-14 12:55:00-04:00,19557.191432152096
2025-03-14 13:00:00-04:00,19566.338001030126
2025-03-14 13:05:00-04:00,19574.675322214272
2025-03-14 13:10:00-04:00,19555.84840654128
2025-03-14 13:15:00-04:00,19552.11335795882
2025-03-14 13:20:00-04:00,19550.67278193255
2025-03-14 13:25:00-04:00,19540.660237382846
2025-03-14 13:30:00-04:00,19536.03849374652
2025-03-14 13:35:00-04:00,19543.419708974332
2025-03-14 13:40:00-04:00,19520.783093904014
2025-03-14 13:45:00-04:00,19517.39544580035
2025-03-14 13:50:00-04:00,19525.483410270645
2025-03-14 13:55:00-04:00,19508.214127543582
2025-03-14 14:00:00-04:00,19536.053957056414
2025-03-14 14:05:00-04:00,19535.82811259653
2025-03-14 14:10:00-04:00,19522.48378389997
2025-03-14 14:15:00-04:00,19522.67755818529
2025-03-14 14:20:00-04:00,19511.062414559612
2025-03-14 14:25:00-04:00,19519.275389232138
2025-03-14 14:30:00-04:00,19543.075513681455
2025-03-14 14:35:00-04:00,19559.24684199163
2025-03-14 14:40:00-04:00,19554.088636087698
2025-03-14 14:45:00-04:00,19557.971539397702
2025-03-14 14:50:00-04:00,19551.155296244724
2025-03-14 14:55:00-04:00,19547.74162195025
2025-03-14 15:00:00-04:00,19556.000788967773
2025-03-14 15:05:00-04:00,19562.6925227691
2025-03-14 15:10:00-04:00,19573.35487505753
2025-03-14 15:15:00-04:00,19560.703375509882
2025-03-14 15:20:00-04:00,19559.270173645018
2025-03-14 15:25:00-04:00,19553.71945125403
2025-03-14 15:30:00-04:00,19554.129070992338
2025-03-14 15:35:00-04:00,19541.503456462677
2025-03-14 15:40:00-04:00,19553.584900969814
2025-03-14 15:45:00-04:00,19564.567790824905
2025-03-14 15:50:00-04:00,19594.818077470176
2025-03-14 15:55:00-04:00,20576.193677572453
2025-03-17 09:30:00-04:00,20637.6722006765
2025-03-17 09:35:00-04:00,20657.061756239473
2025-03-17 09:40:00-04:00,20696.18940992387
2025-03-17 09:45:00-04:00,20678.19106003888
2025-03-17 09:50:00-04:00,20698.883834310134
2025-03-17 09:55:00-04:00,20685.396540643687
2025-03-17 10:00:00-04:00,20651.120837416245
2025-03-17 10:05:00-04:00,20674.8626455177
2025-03-17 10:10:00-04:00,20689.50608043803
2025-03-17 10:15:00-04:00,20691.967971317605
2025-03-17 10:20:00-04:00,20704.970289275294
2025-03-17 10:25:00-04:00,20688.6715422107
2025-03-17 10:30:00-04:00,20687.79453491894
2025-03-17 10:35:00-04:00,20704.691686044705
2025-03-17 10:40:00-04:00,20712.82681422649
2025-03-17 10:45:00-04:00,20702.36274019127
2025-03-17 10:50:00-04:00,20681.31705358372
2025-03-17 10:55:00-04:00,20669.47092951778
2025-03-17 11:00:00-04:00,20673.133554857774
2025-03-17 11:05:00-04:00,20672.274746146202
2025-03-17 11:10:00-04:00,20687.05551474775
2025-03-17 11:15:00-04:00,20699.677130614906
2025-03-17 11:20:00-04:00,20700.931153295372
2025-03-17 11:25:00-04:00,20684.549312764506
2025-03-17 11:30:00-04:00,20651.27794817317
2025-03-17 11:35:00-04:00,20647.61305491724
2025-03-17 11:40:00-04:00,20657.342463473266
2025-03-17 11:45:00-04:00,20668.958299219565
2025-03-17 11:50:00-04:00,20678.97153126526
2025-03-17 11:55:00-04:00,20670.099896448766
2025-03-17 12:00:00-04:00,20678.12114979893
2025-03-17 12:05:00-04:00,20699.43202674694
2025-03-17 12:10:00-04:00,20696.68852903235
2025-03-17 12:15:00-04:00,20679.13274631536
2025-03-17 12:20:00-04:00,20676.54471117615
2025-03-17 12:25:00-04:00,20680.080334020397
2025-03-17 12:30:00-04:00,20683.63384641252
2025-03-17 12:35:00-04:00,20689.098089423143
2025-03-17 12:40:00-04:00,20679.390865001882
2025-03-17 12:45:00-04:00,20688.952443080514
2025-03-17 12:50:00-04:00,20704.867691307467
2025-03-17 12:55:00-04:00,20705.219594346203
2025-03-17 13:00:00-04:00,20689.005467383457
2025-03-17 13:05:00-04:00,20708.23668814034
2025-03-17 13:10:00-04:00,20722.75245898213
2025-03-17 13:15:00-04:00,20718.37843164003
2025-03-17 13:20:00-04:00,20724.789502380172
2025-03-17 13:25:00-04:00,20731.487256192388
2025-03-17 13:30:00-04:00,20742.298019023416
2025-03-17 13:35:00-04:00,20761.448916298123
2025-03-17 13:40:00-04:00,20767.83311789923
2025-03-17 13:45:00-04:00,20762.361602662153
2025-03-17 13:50:00-04:00,20774.77732627339
2025-03-17 13:55:00-04:00,20779.09407750546
2025-03-17 14:00:00-04:00,20789.093125784457
2025-03-17 14:05:00-04:00,20799.77184429583
2025-03-17 14:10:00-04:00,20812.588326770245
2025-03-17 14:15:00-04:00,20809.35568435225
2025-03-17 14:20:00-04:00,20804.13428749533
2025-03-17 14:25:00-04:00,20804.210967699943
2025-03-17 14:30:00-04:00,20811.010641404253
2025-03-17 14:35:00-04:00,20806.732387539083
2025-03-17 14:40:00-04:00,20809.085927037195
2025-03-17 14:45:00-04:00,20819.47915249784
2025-03-17 14:50:00-04:00,20823.771479484836
2025-03-17 14:55:00-04:00,20814.156777924007
2025-03-17 15:00:00-04:00,20804.52341366401
2025-03-17 15:05:00-04:00,20799.27337641342
2025-03-17 15:10:00-04:00,20796.134256037367
2025-03-17 15:15:00-04:00,20799.73007941134
2025-03-17 15:20:00-04:00,20804.57750403847
2025-03-17 15:25:00-04:00,20817.368496681105
2025-03-17 15:30:00-04:00,20810.0410917602
2025-03-17 15:35:00-04:00,20803.226129107537
2025-03-17 15:40:00-04:00,20814.116550135765
2025-03-17 15:45:00-04:00,20808.08164295641
2025-03-17 15:50:00-04:00,20795.75386950022
2025-03-17 15:55:00-04:00,20760.52696310933
2025-03-18 09:30:00-04:00,20703.96388782227
2025-03-18 09:35:00-04:00,20680.50437715524
2025-03-18 09:40:00-04:00,20665.01647736372
2025-03-18 09:45:00-04:00,20662.841225420496
2025-03-18 09:50:00-04:00,20656.64467654664
2025-03-18 09:55:00-04:00,20656.49739799517
2025-03-18 10:00:00-04:00,20658.042324749
2025-03-18 10:05:00-04:00,20670.123398154075
2025-03-18 10:10:00-04:00,20659.12257697363
2025-03-18 10:15:00-04:00,20656.587328545847
2025-03-18 10:20:00-04:00,20669.306305543443
2025-03-18 10:25:00-04:00,20674.613433159728
2025-03-18 10:30:00-04:00,20674.72571971151
2025-03-18 10:35:00-04:00,20686.024545890545
2025-03-18 10:40:00-04:00,20667.208423032298
2025-03-18 10:45:00-04:00,20641.98474183264
2025-03-18 10:50:00-04:00,20653.995911314396
2025-03-18 10:55:00-04:00,20638.218579675962
2025-03-18 11:00:00-04:00,20629.206866812547
